ID,Variable 1,Dependency,Variable 2
119,Depression,->,DepressionPT
120,Anxiety,->,AnxietyPT
121,ThoughtInsertion,->,ThoughtInsertionPT
122,Hallucinations,->,HallucinationsPT
123,StrangeExperiences,->,StrangeExperiencesPT
124,ParanoidDelusions,->,ParanoidDelusionsPT
125,PsychiatricTreatment,->,PsychiatricTreatmentGivenRFAT
126,PsychiatricTreatmentGivenRFAT,->,DepressionPT
127,PsychiatricTreatmentGivenRFAT,->,AnxietyPT
128,PsychiatricTreatmentGivenRFAT,->,ThoughtInsertionPT
129,PsychiatricTreatmentGivenRFAT,->,HallucinationsPT
130,PsychiatricTreatmentGivenRFAT,->,StrangeExperiencesPT
131,PsychiatricTreatmentGivenRFAT,->,ParanoidDelusionsPT
132,DepressionPT,->,MentalIllnessSymptomCount
133,AnxietyPT,->,MentalIllnessSymptomCount
134,ThoughtInsertionPT,->,MentalIllnessSymptomCount
135,HallucinationsPT,->,MentalIllnessSymptomCount
136,StrangeExperiencesPT,->,MentalIllnessSymptomCount
137,ParanoidDelusionsPT,->,MentalIllnessSymptomCount
138,MentalIllnessSymptomCount,->,MentalIllnessDL
